Country,Land Area(Km2),Co2-Emissions,CPI,Fertility Rate,Forested Area (%),Gasoline Price,Life expectancy,Physicians per thousand,Population,Total tax rate,Unemployment rate,Regional indicator,Happiness score,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Mozambique,"799,380","7,943",182.31,4.85,48.00%,$0.65 ,60.2,0.08,"30,366,036",36.10%,3.24%,Sub-Saharan Africa,4.954,0.692,51.53,0.851,0.047,0.66
Myanmar,"676,578","25,280",168.18,2.15,43.60%,$0.54 ,66.9,0.68,"54,045,420",31.20%,1.58%,Southeast Asia,4.372,0.787,61.388,0.727,0.491,0.658
Namibia,"824,292","4,228",157.97,3.4,8.30%,$0.76 ,63.4,0.42,"2,494,530",20.70%,20.27%,Sub-Saharan Africa,4.631,0.787,56.851,0.669,-0.126,0.83
Nepal,"147,181","9,105",188.73,1.92,25.40%,$0.91 ,70.5,0.75,"28,608,710",41.80%,1.41%,South Asia,5.36,0.748,61.847,0.808,0.146,0.783
Netherlands,"41,543","170,780",115.91,1.59,11.20%,$1.68 ,81.8,3.61,"17,332,850",41.20%,3.20%,Western Europe,7.403,0.93,71.55,0.887,0.213,0.379
New Zealand,"268,838","34,382",114.24,1.71,38.60%,$1.40 ,81.9,3.59,"4,841,000",34.60%,4.07%,North America and ANZ,7.123,0.952,70.35,0.887,0.175,0.271
Nicaragua,"130,370","5,592",162.74,2.4,25.90%,$0.91 ,74.3,0.98,"6,545,502",60.60%,6.84%,Latin America and Caribbean,6.259,0.853,65.65,0.877,0.021,0.625
Niger,"1,267,000","2,017",109.32,6.91,0.90%,$0.88 ,62.0,0.04,"23,310,715",47.20%,0.47%,Sub-Saharan Africa,4.501,0.59,56.55,0.788,0.032,0.734
Nigeria,"923,768","120,369",267.51,5.39,7.20%,$0.46 ,54.3,0.38,"200,963,599",34.80%,8.10%,Sub-Saharan Africa,4.981,0.74,54.891,0.718,0.073,0.911
Norway,"323,802","41,023",120.27,1.56,33.20%,$1.78 ,82.8,2.92,"5,347,896",36.20%,3.35%,Western Europe,7.315,0.943,71.5,0.947,0.141,0.283
Pakistan,"796,095","201,150",182.32,3.51,1.90%,$0.79 ,67.1,0.98,"216,565,318",33.90%,4.45%,South Asia,4.555,0.601,57.313,0.766,0.008,0.787
Panama,"75,420","10,715",122.07,2.46,61.90%,$0.74 ,78.3,1.57,"4,246,439",37.20%,3.90%,Latin America and Caribbean,6.265,0.896,68.95,0.855,-0.133,0.878
Paraguay,"406,752","7,407",143.82,2.43,37.70%,$1.04 ,74.1,1.35,"7,044,636",35.00%,4.81%,Latin America and Caribbean,5.738,0.906,65.9,0.891,0.021,0.843
Peru,"1,285,216","57,414",129.78,2.25,57.70%,$0.99 ,76.5,1.27,"32,510,453",36.80%,3.31%,Latin America and Caribbean,5.526,0.798,69.85,0.794,-0.119,0.892
Philippines,"300,000","122,287",129.61,2.58,27.80%,$0.86 ,71.1,0.6,"108,116,615",43.10%,2.15%,Southeast Asia,5.523,0.78,62.038,0.919,-0.06,0.732
Poland,"312,685","299,037",114.11,1.46,30.90%,$1.07 ,77.6,2.38,"37,970,874",40.80%,3.47%,Central and Eastern Europe,6.26,0.925,69.049,0.765,-0.031,0.736
Portugal,"92,212","48,742",110.62,1.38,34.60%,$1.54 ,81.3,5.12,"10,269,417",39.80%,6.33%,Western Europe,5.968,0.878,71.25,0.902,-0.196,0.878
Romania,"238,391","69,259",123.78,1.71,30.10%,$1.16 ,75.4,2.98,"19,356,544",20.00%,3.98%,Central and Eastern Europe,6.589,0.848,67.051,0.856,-0.172,0.929
Russia,"17,098,240","1,732,027",180.75,1.57,49.80%,$0.59 ,72.7,4.01,"144,373,535",46.20%,4.59%,Commonwealth of Independent States,5.661,0.889,64.947,0.719,-0.03,0.801
Saudi Arabia,"2,149,690","563,449",118.4,2.32,0.50%,$0.24 ,75.0,2.61,"34,268,528",15.70%,5.93%,Middle East and North Africa,6.463,0.884,64.399,0.894,-0.081,0.691
Senegal,"196,722","10,902",109.25,4.63,42.80%,$1.14 ,67.7,0.07,"16,296,364",44.80%,6.60%,Sub-Saharan Africa,4.855,0.629,59.999,0.772,0.011,0.846
Serbia,"77,474","45,221",144,1.49,31.10%,$1.16 ,75.5,3.11,"6,944,975",36.60%,12.69%,Central and Eastern Europe,6.144,0.873,67.088,0.845,0.204,0.816
Sierra Leone,"71,740","1,093",234.16,4.26,43.10%,$1.08 ,54.3,0.03,"7,813,215",30.70%,4.43%,Sub-Saharan Africa,3.138,0.555,54.9,0.66,0.105,0.858
Singapore,716,"37,535",114.41,1.14,23.10%,$1.25 ,83.1,2.29,"5,703,569",21.00%,4.11%,Southeast Asia,6.587,0.878,73.8,0.878,0.063,0.146
Slovakia,"49,035","32,424",115.34,1.52,40.40%,$1.32 ,77.2,3.42,"5,454,073",49.70%,5.56%,Central and Eastern Europe,6.469,0.953,68.838,0.753,-0.016,0.898
Slovenia,"20,273","12,633",111.05,1.6,62.00%,$1.32 ,81.0,3.09,"2,087,946",31.00%,4.20%,Central and Eastern Europe,6.65,0.951,71.052,0.913,0.014,0.771
South Africa,"1,219,090","476,644",158.93,2.41,7.60%,$0.92 ,63.9,0.91,"58,558,270",29.20%,28.18%,Sub-Saharan Africa,5.275,0.907,56.989,0.73,-0.087,0.902
South Korea,"99,720","620,302",115.16,0.98,63.40%,$1.22 ,82.6,2.36,"51,709,098",33.20%,4.15%,East Asia,5.951,0.812,73.65,0.717,-0.046,0.701
Spain,"505,370","244,002",110.96,1.26,36.90%,$1.26 ,83.3,3.87,"47,076,781",47.00%,13.96%,Western Europe,6.436,0.932,72.35,0.782,-0.066,0.711
Sri Lanka,"65,610","23,362",155.53,2.2,32.90%,$0.88 ,76.8,1.0,"21,803,000",55.20%,4.20%,South Asia,4.442,0.826,67.15,0.787,-0.03,0.808
Sweden,"450,295","43,252",110.51,1.76,68.90%,$1.42 ,82.5,3.98,"10,285,453",49.10%,6.48%,Western Europe,7.395,0.939,72.15,0.948,0.165,0.202
Switzerland,"41,277","34,477",99.55,1.52,31.80%,$1.45 ,83.6,4.3,"8,574,832",28.80%,4.58%,Western Europe,7.24,0.92,72.9,0.891,0.027,0.266
Tajikistan,"144,100","5,310",148.57,3.59,3.00%,$0.71 ,70.9,1.7,"9,321,018",67.30%,11.02%,Commonwealth of Independent States,5.33,0.836,62.226,0.832,-0.06,0.522
Tanzania,"947,300","11,973",187.43,4.89,51.60%,$0.87 ,65.0,0.01,"58,005,463",43.80%,1.98%,Sub-Saharan Africa,3.694,0.653,59.401,0.838,0.182,0.554
Thailand,"513,120","283,763",113.27,1.53,32.20%,$0.71 ,76.9,0.81,"69,625,582",29.50%,0.75%,Southeast Asia,5.843,0.874,68.45,0.85,0.289,0.91
Togo,"56,785","3,000",113.3,4.32,3.10%,$0.71 ,60.8,0.08,"8,082,366",48.20%,2.04%,Sub-Saharan Africa,4.137,0.595,57.449,0.657,0.024,0.74
Tunisia,"163,610","29,937",155.33,2.2,6.80%,$0.73 ,76.5,1.3,"11,694,719",60.70%,16.02%,Middle East and North Africa,4.497,0.73,67.0,0.576,-0.213,0.907
Uganda,"241,038","5,680",173.87,4.96,9.70%,$0.94 ,63.0,0.17,"44,269,594",33.70%,1.84%,Sub-Saharan Africa,4.432,0.794,58.913,0.701,0.114,0.857
Ukraine,"603,550","202,250",281.66,1.3,16.70%,$0.83 ,71.6,2.99,"44,385,155",45.20%,8.88%,Commonwealth of Independent States,5.071,0.878,64.55,0.795,0.24,0.907
United Arab Emirates,"83,600","206,324",114.52,1.41,4.60%,$0.49 ,77.8,2.53,"9,770,529",15.90%,2.35%,Middle East and North Africa,6.571,0.826,66.243,0.942,0.096,0.584
United Kingdom,"243,610","379,025",119.62,1.68,13.10%,$1.46 ,81.3,2.81,"66,834,405",30.60%,3.85%,Western Europe,6.796,0.882,70.3,0.852,0.253,0.454
United States,"9,833,517","5,006,302",117.24,1.73,33.90%,$0.71 ,78.5,2.61,"328,239,523",36.60%,14.70%,North America and ANZ,6.894,0.919,65.85,0.8,0.137,0.689
Uruguay,"176,215","6,766",202.92,1.97,10.70%,$1.50 ,77.8,5.05,"3,461,734",41.80%,8.73%,Latin America and Caribbean,6.494,0.913,67.5,0.895,-0.065,0.575
Venezuela,"912,050","164,175","2,740.27",2.27,52.70%,$0.00 ,72.1,1.92,"28,515,829",73.30%,8.80%,Latin America and Caribbean,5.211,0.839,64.05,0.659,0.128,0.811
Vietnam,"331,210","192,668",163.52,2.05,48.10%,$0.80 ,75.3,0.82,"96,462,106",37.60%,2.01%,Southeast Asia,5.763,0.821,65.502,0.939,-0.004,0.759
Zambia,"752,618","5,141",212.31,4.63,65.20%,$1.40 ,63.5,1.19,"17,861,030",15.60%,11.43%,Sub-Saharan Africa,3.982,0.694,55.032,0.791,0.098,0.818
Zimbabwe,"390,757","10,983",105.51,3.62,35.50%,$1.34 ,61.2,0.21,"14,645,468",31.60%,4.95%,Sub-Saharan Africa,3.204,0.69,54.05,0.654,-0.046,0.766
